name,platform,handle,followers,niche,email_or_dm,fit_reason
Emily Johnson,Instagram,@emfitbites,15000,Nutrition,DM,Quick meal prep recipes for busy people; 5% engagement rate on recipe posts, authentic audience.
Alex Rivera,TikTok,@alexquickgains,28000,Fitness,DM,20-min home workouts; videos average 10k views, targets busy professionals.
Sarah Lee,Instagram,@sarahstrongmom,22000,Fitness,DM,Mom fitness journeys; high relatability for BusyBody's target demo.
Mike Chen,TikTok,@mikeleanlife,12000,Nutrition,DM,Intermittent fasting tips; engaged comments on daily routines.
Lauren Davis,Instagram,@laurenfitfuel,35000,Nutrition,DM,High-protein snacks; partners with small brands, responsive.
Jordan Patel,TikTok,@jordansweatfree,18000,Fitness,DM,No-gym workouts; 8% ER, real progress shares.
Taylor Brooks,Instagram,@taylornutri,11000,Nutrition,DM,Plant-based for athletes; niche but dedicated followers.
Ryan Kim,TikTok,@ryanketoquick,25000,Nutrition,DM,Keto meals under 15min; viral short-form content.
Olivia Grant,Instagram,@oliviafitfam,32000,Fitness,DM,Family fitness challenges; community-focused.
Chris Evans (not actor),TikTok,@chrisbodybusy,9000,Fitness,DM,Workouts for desk jobs; perfect BusyBody fit.
Mia Rodriguez,Instagram,@miamealplans,19000,Nutrition,DM,Weekly meal plans for weight loss; printable shares high saves.
Ethan Wong,TikTok,@ethanendurance,41000,Fitness,DM,Endurance training hacks; motivated audience.
Sophia Patel,Instagram,@sophiasmoothie,14000,Nutrition,DM,Smoothie recipes for energy; consistent posting.
Noah Taylor, TikTok,@noahfitfuel,27000,Nutrition,DM,Fuel for workouts; recipe demos.
Ava Kim,Instagram,@avaactive,23000,Fitness,DM,Active lifestyle tips; daily motivation.
Liam Chen, TikTok,@liamliftlight,16000,Fitness,DM,Light equipment lifts; accessible.
Isabella Lee,Instagram,@isabellanourish,30000,Nutrition,DM,Nourishing foods for recovery; wellness angle.
Mason Rivera,TikTok,@masonmusclemini,20000,Fitness,DM,Mini muscle building routines.
Harper Davis,Instagram,@harperhealthhack,13000,Nutrition,DM,Health hacks for busy days.
Logan Brooks,TikTok,@loganleanout,34000,Fitness,DM,Lean out challenges; group engagement.
