company,tier,priority,existing_status,contact_candidate,candidate_confidence,candidate_source,candidate_source_url,next_action
AG1,Tier 1,P1,Research contact,partnerships@ag1.com,0.9,alias_pattern,https://ag1.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Joovv,Tier 1,P1,Research contact,partnerships@joovv.com,0.9,alias_pattern,https://joovv.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
LMNT,Tier 1,P1,Research contact,partnerships@lmnt.com,0.9,alias_pattern,https://lmnt.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Plunge,Tier 1,P1,Research contact,partnerships@plunge.com,0.9,alias_pattern,https://plunge.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
SaunaSpace,Tier 1,P1,Research contact,partnerships@saunaspace.com,0.9,alias_pattern,https://saunaspace.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Clay,Tier 2,P2,Research contact,partnerships@clay.com,0.9,alias_pattern,https://clay.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Four Sigmatic,Tier 2,P2,Research contact,partnerships@foursigmatic.com,0.9,alias_pattern,https://foursigmatic.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Huel,Tier 2,P2,Research contact,partnerships@huel.com,0.9,alias_pattern,https://huel.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Ketone-IQ,Tier 2,P2,Research contact,partnerships@ketoneiq.com,0.9,alias_pattern,https://ketoneiq.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Magic Spoon,Tier 2,P2,Research contact,partnerships@magicspoon.com,0.9,alias_pattern,https://magicspoon.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Motion,Tier 2,P2,Research contact,partnerships@motion.com,0.9,alias_pattern,https://motion.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
MudWtr,Tier 2,P2,Research contact,partnerships@mudwtr.com,0.9,alias_pattern,https://mudwtr.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Notion,Tier 2,P2,Research contact,partnerships@notion.com,0.9,alias_pattern,https://notion.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Opal,Tier 2,P2,Research contact,partnerships@opal.com,0.9,alias_pattern,https://opal.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Readwise,Tier 2,P2,Research contact,partnerships@readwise.com,0.9,alias_pattern,https://readwise.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Sunsama,Tier 2,P2,Research contact,partnerships@sunsama.com,0.9,alias_pattern,https://sunsama.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
Superhuman,Tier 2,P2,Research contact,partnerships@superhuman.com,0.9,alias_pattern,https://superhuman.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
TextExpander,Tier 2,P2,Research contact,partnerships@textexpander.com,0.9,alias_pattern,https://textexpander.com/contact,"Validate + paste into sponsorship_outreach_tracker.csv, then set status=Ready to Send"
