company,tier,category,contact_role,contact_email,outreach_angle,priority,status,next_action,target_send_day,notes
Eight Sleep,Tier 1,Health Tech,CEO or Partnerships,partnerships@eightsleep.com,Super-user sleep ROI story,P1,Sent,Send personalized Template A,Tue,Sent via Himalaya CLI on 2026-02-24
Oura,Tier 1,Health Tech,Partnerships,partnerships@ouraring.com,Gamified readiness + deep work planning,P1,Sent,Send personalized Template A,Tue,Sent via Himalaya CLI on 2026-02-24
Whoop,Tier 1,Health Tech,Partnerships or Marketing,partnerships@whoop.com,Sustainable output + burnout prevention,P1,Sent,Send personalized Template A,Tue,Sent via Himalaya CLI on 2026-02-24
Levels,Tier 1,Health Tech,Growth or Partnerships,partnerships@levelshealth.com,Metabolic focus and afternoon crash,P1,Sent,Send personalized Template A,Tue,Sent via Himalaya CLI on 2026-02-24
Apollo Neuro,Tier 1,Health Tech,Partnerships,partnerships@apolloneuro.com,Stress switch for founders,P1,Sent,Send personalized Template A,Tue,Sent via Himalaya CLI on 2026-02-24
Plunge,Tier 1,Health Tech,Partnerships,,Recovery ritual for high output,P1,Research contact,Find contact + prep Template A,Wed,
SaunaSpace,Tier 1,Health Tech,Partnerships,,Recovery + evening wind-down,P1,Research contact,Find contact + prep Template A,Wed,
Joovv,Tier 1,Health Tech,Partnerships,,Morning routine performance stack,P1,Research contact,Find contact + prep Template A,Wed,
AG1,Tier 1,Consumables,Partnerships,,Founder morning stack,P1,Research contact,Find contact + prep Template A,Wed,
LMNT,Tier 1,Consumables,Partnerships,,Hydration + cognitive performance,P1,Research contact,Find contact + prep Template A,Wed,
Notion,Tier 2,Productivity SaaS,Partnerships,,Operator knowledge OS,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Superhuman,Tier 2,Productivity SaaS,Partnerships,,Inbox throughput for founders,P2,Research contact,Find partnerships lead + prep Template A,Thu,
Motion,Tier 2,Productivity SaaS,Partnerships,,Calendar autopilot for focus,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Sunsama,Tier 2,Productivity SaaS,Partnerships,,Daily planning for reduced burnout,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Opal,Tier 2,Productivity SaaS,Partnerships,,Attention defense for creators,P2,Research contact,Find partnerships lead + prep Template B,Thu,
TextExpander,Tier 2,Productivity SaaS,Partnerships,,10x communication throughput,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Clay,Tier 2,Productivity SaaS,Partnerships,,Relationship leverage system,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Readwise,Tier 2,Productivity SaaS,Partnerships,,Learning retention for founders,P2,Research contact,Find partnerships lead + prep Template B,Thu,
Huel,Tier 2,Consumables,Partnerships,,Convenience nutrition for builders,P2,Research contact,Find partnerships lead + prep Template A,Fri,
Magic Spoon,Tier 2,Consumables,Partnerships,,High-protein convenience breakfast,P2,Research contact,Find partnerships lead + prep Template A,Fri,
Ketone-IQ,Tier 2,Consumables,Partnerships,,Cognitive performance stack,P2,Research contact,Find partnerships lead + prep Template A,Fri,
MudWtr,Tier 2,Consumables,Partnerships,,Focus without caffeine crash,P2,Research contact,Find partnerships lead + prep Template A,Fri,
Four Sigmatic,Tier 2,Consumables,Partnerships,,Functional beverage for work blocks,P2,Research contact,Find partnerships lead + prep Template A,Fri,
