company,priority,contact_email,outreach_angle,sent_date,action_type,due_date,days_until_due,next_action
Apollo Neuro,P1,partnerships@apolloneuro.com,Stress switch for founders,2026-02-24,followup_1,2026-02-27,1,Send followup 1
Eight Sleep,P1,partnerships@eightsleep.com,Super-user sleep ROI story,2026-02-24,followup_1,2026-02-27,1,Send followup 1
Levels,P1,partnerships@levelshealth.com,Metabolic focus and afternoon crash,2026-02-24,followup_1,2026-02-27,1,Send followup 1
Oura,P1,partnerships@ouraring.com,Gamified readiness + deep work planning,2026-02-24,followup_1,2026-02-27,1,Send followup 1
Whoop,P1,partnerships@whoop.com,Sustainable output + burnout prevention,2026-02-24,followup_1,2026-02-27,1,Send followup 1
Apollo Neuro,P1,partnerships@apolloneuro.com,Stress switch for founders,2026-02-24,followup_2,2026-03-03,5,Send followup 2
Eight Sleep,P1,partnerships@eightsleep.com,Super-user sleep ROI story,2026-02-24,followup_2,2026-03-03,5,Send followup 2
Levels,P1,partnerships@levelshealth.com,Metabolic focus and afternoon crash,2026-02-24,followup_2,2026-03-03,5,Send followup 2
Oura,P1,partnerships@ouraring.com,Gamified readiness + deep work planning,2026-02-24,followup_2,2026-03-03,5,Send followup 2
Whoop,P1,partnerships@whoop.com,Sustainable output + burnout prevention,2026-02-24,followup_2,2026-03-03,5,Send followup 2
